Crank Angle	PCYL1	CAM_TRIG	
deg	bar	V	
45.3	6.568		
45.4	6.541		
45.5	6.512		
45.6	6.482		
45.7	6.456		
45.8	6.432		
45.9	6.403		
46.0	6.376	0.85888	
46.1	6.347		
46.2	6.323		
46.3	6.296		
46.4	6.269		
46.5	6.245		
46.6	6.219		
46.7	6.192		
46.8	6.168		
46.9	6.141		
47.0	6.115	0.85888	
47.1	6.091		
47.2	6.067		
47.3	6.040		
47.4	6.016		
47.5	5.992		
47.6	5.966		
47.7	5.942		
47.8	5.920		
47.9	5.896		
48.0	5.872	0.85888	
48.1	5.848		
48.2	5.824		
48.3	5.800		
48.4	5.776		
48.5	5.752		
48.6	5.731		
48.7	5.707		
48.8	5.683		
48.9	5.662		
49.0	5.641	0.85888	
49.1	5.617		
49.2	5.595		
49.3	5.571		
49.4	5.550		
49.5	5.529		
49.6	5.505		
49.7	5.483		
49.8	5.462		
49.9	5.441		
50.0	5.419	0.85888	
50.1	5.398		
50.2	5.377		
50.3	5.356		
50.4	5.337		
50.5	5.316		
50.6	5.297		
50.7	5.276		
50.8	5.254		
50.9	5.236		
51.0	5.214	0.85888	
51.1	5.196		
51.2	5.174		
51.3	5.158		
51.4	5.137		
51.5	5.116		
51.6	5.097		
51.7	5.076		
51.8	5.057		
51.9	5.041		
52.0	5.020	0.85888	
52.1	5.001		
52.2	4.983		
52.3	4.961		
52.4	4.943		
52.5	4.921		
52.6	4.905		
52.7	4.889		
52.8	4.868		
52.9	4.852		
53.0	4.833	0.85888	
53.1	4.815		
53.2	4.799		
53.3	4.783		
53.4	4.761		
53.5	4.743		
53.6	4.727		
53.7	4.708		
53.8	4.690		
53.9	4.674		
54.0	4.655	0.85888	
54.1	4.639		
54.2	4.623		
54.3	4.607		
54.4	4.588		
54.5	4.572		
54.6	4.556		
54.7	4.538		
54.8	4.524		
54.9	4.508		
55.0	4.492	0.85888	
55.1	4.476		
55.2	4.460		
55.3	4.442		
55.4	4.426		
55.5	4.410		
55.6	4.394		
55.7	4.378		
55.8	4.365		
55.9	4.349		
56.0	4.333	0.85888	
56.1	4.317		
56.2	4.303		
56.3	4.287		
56.4	4.274		
56.5	4.258		
56.6	4.245		
56.7	4.226		
56.8	4.213		
56.9	4.197		
57.0	4.183	0.85888	
57.1	4.167		
